epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,278.452,1.79512,2.46463,0.89288,0.03055,0.18501,0.07669,0.03774,1.73474,3.08132,0.86207,0.000405983,0.000405983,0.000405983
2,544.903,1.60481,1.21666,0.85472,0.96226,0.16048,0.2141,0.10076,1.74919,1.84605,0.85367,0.000814505,0.000814505,0.000814505
3,815.245,1.63241,1.1441,0.84832,0.82618,0.23053,0.25446,0.12585,1.59359,1.34311,0.84665,0.00121478,0.00121478,0.00121478
4,1091.73,1.55816,1.0837,0.84918,0.73146,0.26661,0.27855,0.15879,1.41652,1.10418,0.83993,0.00121287,0.00121287,0.00121287
5,1375.86,1.50766,1.01727,0.83842,0.74261,0.30073,0.34073,0.20738,1.28297,1.0107,0.82688,0.0012005,0.0012005,0.0012005
6,1659.39,1.45406,0.95414,0.83916,0.79636,0.35988,0.43688,0.27335,1.21881,0.85019,0.82061,0.00118812,0.00118812,0.00118812
7,2080.97,1.39231,0.90298,0.83015,0.87781,0.42827,0.49641,0.3099,1.20933,0.82154,0.82128,0.00117575,0.00117575,0.00117575
8,2374.43,1.30696,0.83295,0.82554,0.79264,0.47425,0.51632,0.30682,1.24873,0.77018,0.82509,0.00116337,0.00116337,0.00116337
9,2661.49,1.31499,0.80611,0.82848,0.81931,0.51732,0.5684,0.33782,1.21267,0.72943,0.8167,0.001151,0.001151,0.001151
10,2944.32,1.29666,0.77264,0.82386,0.79665,0.46183,0.55464,0.34316,1.18154,0.74373,0.81461,0.00113863,0.00113863,0.00113863
11,3235.26,1.33551,0.77712,0.82278,0.73305,0.49076,0.51509,0.30436,1.24169,0.78023,0.8208,0.00112625,0.00112625,0.00112625
12,3516.13,1.24624,0.73935,0.82133,0.75547,0.50435,0.55623,0.31937,1.21247,0.71375,0.81972,0.00111388,0.00111388,0.00111388
13,3795.29,1.27366,0.72538,0.81606,0.83958,0.5187,0.61616,0.36785,1.11494,0.64526,0.80951,0.0011015,0.0011015,0.0011015
14,4062.27,1.22692,0.68941,0.81511,0.77706,0.58509,0.61138,0.37485,1.12346,0.63892,0.81021,0.00108913,0.00108913,0.00108913
15,4329.86,1.20201,0.66532,0.81535,0.83731,0.61489,0.63805,0.38879,1.13211,0.62989,0.81252,0.00107675,0.00107675,0.00107675
16,4604.45,1.22734,0.65904,0.81428,0.85144,0.52274,0.61525,0.38482,1.08177,0.60197,0.80713,0.00106437,0.00106437,0.00106437
17,4908.21,1.17842,0.63811,0.812,0.79107,0.58078,0.60164,0.37504,1.12792,0.62619,0.80837,0.001052,0.001052,0.001052
18,5273.74,1.15535,0.62495,0.80986,0.90635,0.48441,0.60906,0.38019,1.05238,0.6084,0.80632,0.00103962,0.00103962,0.00103962
19,5565.39,1.15669,0.62909,0.81053,0.8887,0.50386,0.6036,0.37932,1.09403,0.60152,0.80856,0.00102725,0.00102725,0.00102725
20,5853.85,1.15905,0.61147,0.8087,0.93329,0.54076,0.64223,0.39695,1.06591,0.58318,0.80624,0.00101488,0.00101488,0.00101488
21,6157.08,1.181,0.61805,0.80803,0.90634,0.59802,0.6719,0.41523,1.08869,0.59454,0.80601,0.0010025,0.0010025,0.0010025
22,6449.5,1.11833,0.59066,0.80794,0.89129,0.5804,0.6607,0.41364,1.05003,0.57899,0.80495,0.000990125,0.000990125,0.000990125
23,6742.86,1.15514,0.61103,0.80707,0.84612,0.61392,0.66225,0.41508,1.06958,0.58787,0.80365,0.00097775,0.00097775,0.00097775
24,7028.91,1.12526,0.58689,0.80578,0.82441,0.62763,0.67639,0.42771,1.04364,0.56141,0.8052,0.000965375,0.000965375,0.000965375
25,7319.69,1.12938,0.58106,0.80658,0.80603,0.55591,0.62559,0.38042,1.07428,0.58868,0.80585,0.000953,0.000953,0.000953
26,7617.38,1.11276,0.5717,0.8051,0.71848,0.53177,0.58297,0.3403,1.02797,0.58391,0.80342,0.000940625,0.000940625,0.000940625
27,7930.58,1.12023,0.57152,0.80677,0.79849,0.6023,0.66404,0.40022,1.05206,0.56337,0.80547,0.00092825,0.00092825,0.00092825
28,8210.29,1.11035,0.56735,0.80268,0.90066,0.5855,0.65297,0.41019,1.03797,0.56794,0.8048,0.000915875,0.000915875,0.000915875
29,8487.85,1.10454,0.56519,0.80492,0.93622,0.60685,0.6772,0.44885,1.01755,0.55117,0.80516,0.0009035,0.0009035,0.0009035
30,8757.56,1.12347,0.56891,0.80477,0.81474,0.61063,0.662,0.42715,1.04484,0.56606,0.80703,0.000891125,0.000891125,0.000891125
31,9035.65,1.11301,0.56899,0.80208,0.74566,0.61897,0.65558,0.41763,1.04219,0.58035,0.80193,0.00087875,0.00087875,0.00087875
32,9308.58,1.09658,0.55789,0.80367,0.69418,0.59445,0.64934,0.41148,1.01142,0.57251,0.80428,0.000866375,0.000866375,0.000866375
33,9588.84,1.09843,0.54756,0.80352,0.73949,0.60414,0.64958,0.40157,1.01608,0.5605,0.80242,0.000854,0.000854,0.000854
34,9903.64,1.06697,0.53493,0.80355,0.72756,0.63659,0.67354,0.4342,1.00047,0.52126,0.80384,0.000841625,0.000841625,0.000841625
35,10196.5,1.07678,0.53852,0.80057,0.77506,0.60726,0.67367,0.42132,1.02457,0.53861,0.8032,0.00082925,0.00082925,0.00082925
36,10484.5,1.0966,0.54186,0.80169,0.74904,0.60154,0.67648,0.42213,0.99919,0.526,0.80299,0.000816875,0.000816875,0.000816875
37,10769.2,1.07091,0.53334,0.80138,0.80074,0.59604,0.68476,0.4315,1.02323,0.52569,0.80274,0.0008045,0.0008045,0.0008045
38,11055.3,1.07498,0.52613,0.7992,0.71051,0.62186,0.64665,0.40097,1.10916,0.55805,0.80675,0.000792125,0.000792125,0.000792125
39,11340.7,1.13241,0.54017,0.80586,0.77375,0.60606,0.67763,0.41667,1.04918,0.52849,0.80454,0.00077975,0.00077975,0.00077975
40,11622.5,1.07528,0.52521,0.80404,0.77073,0.62346,0.68085,0.42852,1.00034,0.52123,0.80372,0.000767375,0.000767375,0.000767375
41,11904.6,1.06641,0.52167,0.80126,0.72527,0.62968,0.67695,0.39857,1.10047,0.53824,0.80845,0.000755,0.000755,0.000755
